business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,price_level
OPERATIONAL,"{'location': {'lat': -6.122040999999999, 'lng': 106.9053861}, 'viewport': {'northeast': {'lat': -6.120908719708496, 'lng': 106.9067224802915}, 'southwest': {'lat': -6.123606680291501, 'lng': 106.9040245197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,taman walang baru,{'open_now': True},"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108775130054944054210"">Muhamad Indra</a>'], 'photo_reference': 'AUGGfZkl6DOdWBkgr-pwrTpG2_eM9fOaryBhLeugABjcxZ7NrshARUwD-b7xKLjfd0nNXXT22kcu459erpLlTjG0-HUs5obAwYgsnk0rC9MRBCOKVUQpAIVv93PBU2FbnV6PN93eJI7DLaZu9n7Q_wK3j8mRaGMytDqY0Da-zBiE_G_2CfO-', 'width': 3060}]",ChIJAQh5D_ofai4RvTH3cPzmMnQ,"{'compound_code': 'VWH4+55 North Tugu, North Jakarta City, Jakarta, Indonesia', 'global_code': '6P58VWH4+55'}",4.4,ChIJAQh5D_ofai4RvTH3cPzmMnQ,GOOGLE,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",2139.0,"Jalan Walang Baru Raya RT.2/RW.15, Tugu Utara",,
OPERATIONAL,"{'location': {'lat': -6.192260599999999, 'lng': 106.8217662}, 'viewport': {'northeast': {'lat': -6.191019519708498, 'lng': 106.8232344802915}, 'southwest': {'lat': -6.193717480291503, 'lng': 106.8205365197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Miniapolis,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110885708176193749712"">Dodi Darundriyo</a>'], 'photo_reference': 'AUGGfZlEM951tfAaLyKhnszbMVTcJgt_KSaThhBJhahmYVNR2kJeUVWU1Y_usrZxcIAl5XTIgPOELmzaLcVLJ6vLweLQe2dcCJeBi9CSqhe14CYVyyI4YO64WGO3FxhXgUL4gDwufJ2l-IAKvciP7dADnROk9itZ5Upg99JJ6_bDI872Jnmx', 'width': 4032}]",ChIJG6qaIiH0aS4RlmgVVgYq5g8,"{'compound_code': 'RR5C+3P Gondangdia, Central Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RR5C+3P'}",4.4,ChIJG6qaIiH0aS4RlmgVVgYq5g8,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",429.0,"Plaza Indonesia Lt. 3, Jl. MH. Thamrin No. 28 - 30, Gondangdia, Menteng, RT.9/RW.5, Gondangdia",,
OPERATIONAL,"{'location': {'lat': -6.178996, 'lng': 106.791941}, 'viewport': {'northeast': {'lat': -6.177899919708498, 'lng': 106.7931741802915}, 'southwest': {'lat': -6.180597880291502, 'lng': 106.7904762197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Skyrink Jakarta - Mall Taman Anggrek,{'open_now': True},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101214443412753612820"">Sabella Family</a>'], 'photo_reference': 'AUGGfZklwhUqwPw0CkKd6FGOOsiJaYHgXXqti42Tl9GVg23YeNWZ9VJD-Xh7A0kG4Ypmh9r2T7VUbnz9kow9_izb5t6NkpZPrDoXa_dnuE0Bi9m0hX-DIzknx9IIiROS6sw_S9f8TtsAdzvzER1il1NllQVux05eow0_o1GWFLxYcmNnbnlm', 'width': 4000}]",ChIJee-2avX2aS4RC1bxjJ1lC_w,"{'compound_code': 'RQCR+CQ South Tanjung Duren, West Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RQCR+CQ'}",4.6,ChIJee-2avX2aS4RC1bxjJ1lC_w,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",4981.0,"Mall, Taman Anggrek, Lantai 3, RT.12/RW.1, Tanjung Duren Selatan",,
OPERATIONAL,"{'location': {'lat': -6.292709100000001, 'lng': 106.8819179}, 'viewport': {'northeast': {'lat': -6.291293919708498, 'lng': 106.8835010802915}, 'southwest': {'lat': -6.293991880291503, 'lng': 106.8808031197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Orchid Park Indonesia Permai,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100734195268949447944"">rr endarwati</a>'], 'photo_reference': 'AUGGfZm31L60AKWtRuQTcaJLMjesYX3czCK9fJ2Rb62k0xEbIyjqwqMDspapljngfaqrNoV0U30HKTt4Gqm2ualI4pwVo698Uf0kWFK7NL0TF_ccs93HkZMjhDdZZxI8sRLWBlUNAZLolZns9fl4Xzt48N8uY2ZnJVUr7PLP90nrHIoLaB-N', 'width': 3264}]",ChIJt7wKEZzyaS4RWti-D4OpPIQ,"{'compound_code': 'PV4J+WQ Pinang Ranti, East Jakarta City, Jakarta, Indonesia', 'global_code': '6P58PV4J+WQ'}",4.5,ChIJt7wKEZzyaS4RWti-D4OpPIQ,GOOGLE,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",1451.0,"Taman Mini Indonesia Indah, Jalan Taman Mini Indonesia Indah No.I 3, RT.4/RW.2, Pinang Ranti",,
OPERATIONAL,"{'location': {'lat': -6.303192899999999, 'lng': 106.8888812}, 'viewport': {'northeast': {'lat': -6.301846219708497, 'lng': 106.8904705302915}, 'southwest': {'lat': -6.304544180291501, 'lng': 106.8877725697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museum Telekomunikasi,{'open_now': True},"[{'height': 393, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100000336462506605183"">Suryo Gunanto</a>'], 'photo_reference': 'AUGGfZkgFcmfey479hZY_P47bd3VyYMmwXwhzWuTT7xHAl0HTfAg2dIvtK7biaz7zFjm9gKxDdQFEidJVUx6G8AxLI247ZiavlgfKsa6gjuXprIytn9YfH7Xh9nj4TzL77U19iPk78uWXjVWmaj-ztCa931wIu7qzJTER1BIU4NNicjCkt-N', 'width': 700}]",ChIJr1-S9F3taS4RKkRr_z9Z6tA,,4.1,ChIJr1-S9F3taS4RKkRr_z9Z6tA,GOOGLE,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",78.0,"MVWQ+PHC, Area Tmii, Ceger",,
OPERATIONAL,"{'location': {'lat': -6.299403000000001, 'lng': 106.8965666}, 'viewport': {'northeast': {'lat': -6.298204019708499, 'lng': 106.8979892802915}, 'southwest': {'lat': -6.300901980291504, 'lng': 106.8952913197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Buku Langka tmii,,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102728319864882635646"">daru priyantono</a>'], 'photo_reference': 'AUGGfZlAC0-N0MB970vlYScygM-PY3rWdT7rJcFcgIVqX-W_a9sbhPK-vZTsuYMuAzTAOuffuO123L78qQkWd2LWXfHW4dDGWH9LDy7e3iN8mlJ4GfSToqF01up_2EmZgjL5vGLtUxXOxMVGN4FW78c_Vucjl2yvdDO9FKwuofEmE1yPooRQ', 'width': 4096}]",ChIJj8nPHFntaS4RcDPOEOnFAA8,"{'compound_code': 'PV2W+6J Lubang Buaya, East Jakarta City, Jakarta, Indonesia', 'global_code': '6P58PV2W+6J'}",4.1,ChIJj8nPHFntaS4RcDPOEOnFAA8,GOOGLE,"['amusement_park', 'book_store', 'park', 'tourist_attraction', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",124.0,"Desa seni,taman Kaktus taman mini Indonesia indah, Lubang Buaya",,
OPERATIONAL,"{'location': {'lat': -6.1438293, 'lng': 106.8119456}, 'viewport': {'northeast': {'lat': -6.142445769708497, 'lng': 106.8132047802915}, 'southwest': {'lat': -6.145143730291501, 'lng': 106.8105068197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_general-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/worship_christian_pinlet,Church of Santa Maria de Fatima JAKARTA,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114971967879782810978"">Raynardthan Pontoh</a>'], 'photo_reference': 'AUGGfZl0Q-mcCB8yiHQa2m-C7z42KqKvOTi7FTiClCnrgELKqZn2nURt6Ksa6ODxnI9TWtDIgLw5Kkw8WMuSu6YuhtInPn-rmDRzxETa9B9I4FXEvyWx4FlJIfu9dxfxgXelJ5dHAbWjCx7pj6EWAh9AHQAdkkDVUUqV0DyAaIaDa6Bc7hlw', 'width': 4000}]",ChIJF09HgAb2aS4Rlc9umM4ei_g,"{'compound_code': 'VR46+FQ Glodok, West Jakarta City, Jakarta, Indonesia', 'global_code': '6P58VR46+FQ'}",4.8,ChIJF09HgAb2aS4Rlc9umM4ei_g,GOOGLE,"['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",1252.0,"Jalan Kemenangan III No.47 3, RT.3/RW.2, Glodok",,
OPERATIONAL,"{'location': {'lat': -6.1719168, 'lng': 106.8089329}, 'viewport': {'northeast': {'lat': -6.170645419708497, 'lng': 106.8102973802915}, 'southwest': {'lat': -6.173343380291501, 'lng': 106.8075994197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TIS Tours & Travel,{'open_now': True},"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105524540749320721783"">teddy tjahjadi</a>'], 'photo_reference': 'AUGGfZmuQkXZ1II-AR9XVveN_MenC8BedVLDO-9OloQjiRgSErwEZ3SIlC5p8yr3d7LqTH9GgeTaarYc93nUDxVnC1n_XudW6CCl5bgOgbgUhGhEcS77DpcHyag5utTI1LJ8jhURoYRcJPx1L-_oYYtSZAIgvNxU_j91qGAbzxJqqU0J4CE', 'width': 2322}]",ChIJkXqid3v2aS4Ryhc_Ff68lGQ,"{'compound_code': 'RRH5+6H Cideng, Central Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RRH5+6H'}",4.4,ChIJkXqid3v2aS4Ryhc_Ff68lGQ,GOOGLE,"['tourist_attraction', 'travel_agency', 'point_of_interest', 'establishment']",8.0,"Jalan Kyai Caringin No.Blok A 8, RT.11/RW.4, Cideng",,
OPERATIONAL,"{'location': {'lat': -6.194014999999999, 'lng': 106.8456889}, 'viewport': {'northeast': {'lat': -6.192690669708497, 'lng': 106.8470154302915}, 'southwest': {'lat': -6.195388630291502, 'lng': 106.8443174697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museum MH. Thamrin,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109769357248891927639"">Eka Putri</a>'], 'photo_reference': 'AUGGfZnzVNx7pWAjK7XPsBPBrt-MEfrIsyTaDCKS0Q-Qt9CmdrsfkGGbxaaLgVmPyK8fJgt7qE1w_dP6AQjbS8ucVW-v8yRkheJNqKxrjh7k9cq0fLm2MEaltcNLQE49THoeixEpTBRcUu4_8geAJMvrgCovoW7LbkPJrMHDeV4loBQ2V3VU', 'width': 4032}]",ChIJ-2tCoUH0aS4R0EY9MgIeCyg,"{'compound_code': 'RR4W+97 Kenari, Central Jakarta City, Jakarta, Indonesia', 'global_code': '6P58RR4W+97'}",4.6,ChIJ-2tCoUH0aS4R0EY9MgIeCyg,GOOGLE,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",841.0,"Jalan Kenari 2 No.15, RW.4, Kenari",,
OPERATIONAL,"{'location': {'lat': -6.2260453, 'lng': 106.8449239}, 'viewport': {'northeast': {'lat': -6.224748669708497, 'lng': 106.8463588302915}, 'southwest': {'lat': -6.227446630291502, 'lng': 106.8436608697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Rumah Batik Palbatu - Kelas Membatik dan Galeri Batik,{'open_now': True},"[{'height': 2604, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101487784995802349869"">Rumah Batik Palbatu - Kelas Membatik dan Galeri Batik</a>'], 'photo_reference': 'AUGGfZnI83a7GXLGUGNO8PNWH5xruudgXQayW1fCdZsIkkPraNPMo86nIgHD5kPkltPuC9rtltX3ev1kEB8FMkop-peq9gXa023vLSLmpqaU5kkI4Xfk_Nmk2X7UAzx_38ZlynLmVSd4G-jVsRdrd_zAZXN85IYmfigi43zv7yXWJF5rac6n', 'width': 2604}]",ChIJ090LkI3zaS4RHqrqwI-1zMw,"{'compound_code': 'QRFV+HX Menteng Dalam, South Jakarta City, Jakarta, Indonesia', 'global_code': '6P58QRFV+HX'}",4.6,ChIJ090LkI3zaS4RHqrqwI-1zMw,GOOGLE,"['art_gallery', 'tourist_attraction', 'clothing_store', 'store', 'point_of_interest', 'establishment']",104.0,"9, Jalan Pal Batu 1 No.6, RT.10/RW.4, Menteng Dalam",,
